name,state,platform_type,career_url,unitid,level,control,seeded
Alabama A & M University,AL,schooljobs,https://www.schooljobs.com/careers/aamu,100654,4-year,public,false
Alamance Community College,NC,schooljobs,https://www.schooljobs.com/careers/alamanceccedu?jobType[0]=Full-Time%20Exempt&jobType[1]=Full-Time%20Non-Exempt&sort=PositionTitle%7CAscending,199786,2-year,public,true
Amarillo College,TX,schooljobs,https://www.schooljobs.com/careers/actx?category%5b0%5d=Instructor&category%5b1%5d=Faculty&jobType%5b0%5d=Part-Time&sort=PostingDate%7CDescending&page=2,222576,2-year,public,false
American River College,CA,schooljobs,https://www.schooljobs.com/careers/losriosccd/jobs/5203260/english-assistant-professor,109208,2-year,public,false
Appalachian State University,NC,peopleadmin,https://www.appstate.edu/employment,197869,4-year,public,false
Aurora University,IL,schooljobs,https://www.schooljobs.com/careers/aurorauniversity?jobType[0]=Full-Time%20Faculty&sort=PositionTitle%7CAscending,143118,4-year,private nonprofit,false
Babson College,MA,peopleadmin,https://babson.peopleadmin.com/postings/search?query=&query_posted_at=&query_position_type_id=2&query_organizational_tier_3_id=any&commit=Search,164580,4-year,private nonprofit,false
Ball State University,IN,peopleadmin,https://bsu.peopleadmin.com/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_position_type_id%5B%5D=3&commit=Search,150136,4-year,public,false
Baltimore City Community College,MD,schooljobs,https://www.schooljobs.com/careers/bccc/fulltimefaculty,161864,2-year,public,false
Bellarmine University,KY,interviewexchange,https://bellarmine.interviewexchange.com/static/clients/459BMM1/index.jsp,156286,4-year,private nonprofit,false
California Institute of Integral Studies,CA,interviewexchange,https://ciis.interviewexchange.com/static/clients/529CIM1,110316,4-year,private nonprofit,false
Carteret Community College,NC,schooljobs,https://www.schooljobs.com/careers/carteretcc,198206,2-year,public,false
Central Carolina Technical College,SC,schooljobs,https://www.schooljobs.com/careers/cctech/jobs/4939638/automotive-tech-instructor?jobType[0]=Full-Time%20Faculty&jobType[1]=Full-Time%20Staff&sort=PositionTitle%7CAscending&pagetype=jobOpportunitiesJobs,218858,2-year,public,false
Cerritos College,CA,schooljobs,https://www.schooljobs.com/careers/cerritosedu,111887,2-year,public,false
Chattahoochee Valley Community College,AL,schooljobs,https://www.schooljobs.com/careers/accs/jobs/newprint/4482590,101028,2-year,public,false
Chemeketa Community College,OR,schooljobs,https://www.governmentjobs.com/careers/chemeketacc,208390,4-year,public,false
Chesapeake College,MD,schooljobs,https://www.schooljobs.com/careers/chesapeakecollege,162168,2-year,public,false
Cheyney University,Unknown,schooljobs,https://www.schooljobs.com/careers/cheyneyedu?category[0]=Faculty&jobType[0]=Full-Time&sort=PositionTitle%7CAscending,,Unknown,Unknown,false
Clark University,MA,interviewexchange,https://clarku.interviewexchange.com/static/clients/569CUM1/index.jsp,165334,4-year,private nonprofit,false
College of DuPage,IL,csod,https://cod.csod.com/ux/ats/careersite/4/home?c=cod,144865,2-year,public,false
College of the Albemarle,NC,schooljobs,https://www.governmentjobs.com/careers/albemarleedu,197814,2-year,public,false
College of the Holy Cross,MA,jobvite,https://jobs.jobvite.com/holycross/jobs,166124,4-year,private nonprofit,false
Connecticut College,CT,peopleadmin,https://conncoll.peopleadmin.com/postings/search,128902,4-year,private nonprofit,false
Cumberland University,TN,paycom,https://www.paycomonline.net/v4/ats/web.php/portal/DEB43C3FD051B594AA4F4829C8587DC3/career-page,219949,4-year,private nonprofit,false
Davenport University,MI,csod,https://davenport.csod.com/ux/ats/careersite/15/home/requisition/2850?c=davenport,169479,4-year,private nonprofit,false
Delaware State University,DE,schooljobs,https://www.schooljobs.com/careers/desu,130934,4-year,public,false
East Stroudsburg University,Unknown,csod,https://esu.csod.com/ux/ats/careersite/1/home/requisition/8301?c=esu,,Unknown,Unknown,false
East Stroudsburg University of Pennsylvania,PA,csod,https://esu.csod.com/ux/ats/careersite/6/home?c=esu,212115,4-year,public,false
Eckerd College,FL,interviewexchange,https://eckerd.interviewexchange.com/static/clients/393ECM1/index.jsp?cat=101,133492,4-year,private nonprofit,false
Folsom Lake College,CA,schooljobs,https://www.schooljobs.com/careers/losriosccd,444219,2-year,public,false
Goucher College,MD,interviewexchange,https://goucher.interviewexchange.com/static/clients/436GCM1/index.jsp,162654,4-year,private nonprofit,false
Governors State University,IL,schooljobs,https://www.schooljobs.com/careers/govst,145336,4-year,public,false
Iona University,NY,paycom,https://www.paycomonline.net/v4/ats/web.php/portal/F28471DFA0F4183976163E181A695BE1/career-page,191931,4-year,private nonprofit,false
Kennesaw State University,GA,peopleadmin,https://kennesaw.peopleadmin.com/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_position_type_id%5B%5D=3&commit=Search,486840,4-year,public,false
Kutztown University,Unknown,schooljobs,https://www.schooljobs.com/careers/kutztownedu/promotionaljobs?jobType[0]=Tenure%20Track&sort=PostingDate%7CDescending,,Unknown,Unknown,false
Manhattan University,NY,schooljobs,https://www.schooljobs.com/careers/manhattanedu/FTFaculty,192703,4-year,private nonprofit,false
Middlebury College,VT,interfolio,https://apply.interfolio.com/36079/positions,230959,4-year,private nonprofit,false
New College of Florida,FL,schooljobs,https://www.schooljobs.com/careers/ncf,262129,4-year,public,false
